case,V6_E_wait,V6_E_memory_new,V6_E_finish,selected_skeleton,selected_E_wait,selected_E_memory_new,selected_E_finish,E_wait_delta,E_memory_delta,E_finish_delta,runtime,case_profile,hard_job_count,protected_job_count,window_size,candidate_source
case071.in,791384.0,20538300.0,15904.0,reservation_top5_slack,752602.0,21260400.0,15927.0,-38782.0,722100.0,23.0,0.028636,memory_dominated,0,5,0,reservation_profile
case072.in,0.0,7937010.0,20501.0,window_memory_hotspot,0.0,7914860.0,20501.0,0.0,-22150.0,0.0,0.499394,balanced,0,0,80,window_repacking
case073.in,73647700.0,20046100.0,15435.0,v6_safe,73647700.0,20046100.0,15435.0,0.0,0.0,0.0,31.500052,balanced,0,0,0,v6_safe
case074.in,6973600.0,27940100.0,18832.0,v6_safe,6973600.0,27940100.0,18832.0,0.0,0.0,0.0,2.739240,memory_dominated,0,0,0,v6_safe
case075.in,1065480.0,29144600.0,15929.0,v6_safe,1065480.0,29144600.0,15929.0,0.0,0.0,0.0,0.854994,memory_dominated,0,0,0,v6_safe
case076.in,0.0,11918000.0,20525.0,regret2_all,0.0,11889700.0,20525.0,0.0,-28300.0,0.0,0.037846,large_dense,0,0,0,regret_constructor
case077.in,120819000.0,23482600.0,19224.0,v6_safe,120819000.0,23482600.0,19224.0,0.0,0.0,0.0,44.462664,balanced,0,0,0,v6_safe
case078.in,11688600.0,41180200.0,18647.0,reservation_top3_strict,11326000.0,41143600.0,18692.0,-362600.0,-36600.0,45.0,0.171640,large_dense,0,3,0,reservation_profile
case079.in,1041880.0,32407300.0,16129.0,v6_safe,1041880.0,32407300.0,16129.0,0.0,0.0,0.0,0.573100,large_dense,0,0,0,v6_safe
case080.in,0.0,17449200.0,20534.0,v6_safe,0.0,17449200.0,20534.0,0.0,0.0,0.0,0.636810,large_dense,0,0,0,v6_safe
case081.in,155191000.0,35426300.0,21990.0,v6_safe,155191000.0,35426300.0,21990.0,0.0,0.0,0.0,29.694628,large_dense,0,0,0,v6_safe
case082.in,11170000.0,37741600.0,19243.0,v6_safe,11170000.0,37741600.0,19243.0,0.0,0.0,0.0,4.503984,large_dense,0,0,0,v6_safe
case083.in,3459790.0,43494400.0,16295.0,v6_safe,3459790.0,43494400.0,16295.0,0.0,0.0,0.0,1.423796,large_dense,0,0,0,v6_safe
case084.in,0.0,19946200.0,20430.0,hard_p5_slack0,0.0,19877800.0,20430.0,0.0,-68400.0,0.0,0.064658,large_dense,224,0,0,hard_job_skeleton
case085.in,171064000.0,32235700.0,21251.0,v6_safe,171064000.0,32235700.0,21251.0,0.0,0.0,0.0,37.993197,large_dense,0,0,0,v6_safe
case086.in,16415300.0,54554800.0,18864.0,reservation_top5_slack,15515700.0,54569900.0,19172.0,-899600.0,15100.0,308.0,0.185519,large_dense,0,5,0,reservation_profile
case087.in,2474570.0,41076200.0,16008.0,v6_safe,2474570.0,41076200.0,16008.0,0.0,0.0,0.0,1.088597,large_dense,0,0,0,v6_safe
